#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   7 ADC                          224                0
  10 ADD                        12887                0
  13 ADDSD                          8                0
  14 ADDSS                          6                0
  17 ADD_LOCK                      25                0
  33 AND                         5817                0
  34 ANDN                           4                0
  35 ANDNPD                         1                0
  36 ANDNPS                         1                0
  37 ANDPD                         11                0
  38 ANDPS                          5                0
  39 AND_LOCK                      14                0
  57 BLSMSK                        60                0
  58 BLSR                           2                0
  67 BSF                          676                0
  68 BSR                          228                0
  69 BSWAP                        181                0
  70 BT                           165                0
  73 BTR                           24                0
  75 BTS                           39                0
  76 BTS_LOCK                       1                0
  77 BZHI                          38                0
  79 CALL_NEAR                  16110                0
  97 CDQ                           14                0
  98 CDQE                         440                0
 117 CLD                            1                0
 145 CMP                        25420                0
 174 CMPXCHG_LOCK                 481                0
 176 COMISD                        11                0
 178 CPUID                         51                0
 179 CQO                            9                0
 209 CVTSI2SD                       6                0
 210 CVTSI2SS                       3                0
 211 CVTSS2SD                       1                0
 218 CVTTSS2SI                      1                0
 220 CWDE                           2                0
 223 DEC                           55                0
 224 DEC_LOCK                       3                0
 225 DIV                          133                0
 228 DIVSD                          4                0
 229 DIVSS                          4                0
 248 FABS                           9                0
 249 FADD                           2                0
 250 FADDP                          2                0
 253 FCHS                          11                0
 263 FCOMI                         10                0
 264 FCOMIP                         1                0
 270 FDIV                           1                0
 271 FDIVP                          3                0
 283 FILD                           3                0
 291 FLD                          133                0
 292 FLD1                           6                0
 293 FLDCW                          1                0
 294 FLDENV                         6                0
 300 FLDZ                          13                0
 301 FMUL                           8                0
 302 FMULP                         14                0
 307 FNSTCW                        11                0
 308 FNSTENV                        5                0
 309 FNSTSW                         8                0
 316 FSCALE                         1                0
 322 FSTP                         119                0
 325 FSUBP                          1                0
 327 FSUBRP                         2                0
 330 FUCOMI                         4                0
 331 FUCOMIP                       10                0
 334 FWAIT                          3                0
 335 FXAM                           8                0
 336 FXCH                          19                0
 337 FXRSTOR                        1                0
 339 FXSAVE                         1                0
 350 HLT                           12                0
 354 IDIV                          24                0
 355 IMUL                         410                0
 357 INC                          546                0
 359 INCSSPQ                        6                0
 360 INC_LOCK                       1                0
 380 JB                          1910                0
 381 JBE                         2068                0
 384 JL                           279                0
 385 JLE                         1453                0
 386 JMP                        17851                0
 389 JNB                         1910                0
 390 JNBE                        2545                0
 391 JNL                          190                0
 392 JNLE                        1372                0
 393 JNO                            1                0
 395 JNS                          313                0
 396 JNZ                        15853                0
 397 JO                            11                0
 398 JP                            14                0
 399 JRCXZ                          2                0
 400 JS                           862                0
 401 JZ                         20413                0
 415 KMOVD                        604                0
 416 KMOVQ                        117                0
 423 KORD                           1                0
 425 KORTESTB                       3                0
 426 KORTESTD                      48                0
 427 KORTESTQ                      14                0
 428 KORTESTW                       3                0
 447 KXNORQ                         1                0
 456 LDMXCSR                        2                0
 459 LEA                        23256                0
 460 LEAVE                        631                0
 462 LFENCE                         6                0
 484 LZCNT                         27                0
 499 MOV                       126504                0
 500 MOVAPD                        43                0
 501 MOVAPS                      1846                0
 502 MOVBE                         16                0
 503 MOVD                         206                0
 508 MOVDQA                      2690                0
 509 MOVDQU                      1476                0
 510 MOVHLPS                       10                0
 511 MOVHPD                        12                0
 512 MOVHPS                        42                0
 514 MOVLPD                        17                0
 516 MOVMSKPD                       6                0
 517 MOVMSKPS                       6                0
 518 MOVNTDQ                       24                0
 522 MOVNTPS                       80                0
 526 MOVQ                         514                0
 530 MOVSD_XMM                    120                0
 534 MOVSS                         67                0
 536 MOVSX                        765                0
 537 MOVSXD                      2408                0
 539 MOVUPS                      1534                0
 540 MOVZX                       5398                0
 544 MUL                          141                0
 547 MULSD                         23                0
 548 MULSS                         15                0
 552 NEG                          891                0
 554 NOP                        19970                0
 563 NOT                          358                0
 565 OR                          2957                0
 566 ORPD                           3                0
 567 ORPS                           3                0
 568 OR_LOCK                       13                0
 579 PACKUSWB                       2                0
 580 PADDB                        804                0
 581 PADDD                         22                0
 582 PADDQ                         49                0
 588 PALIGNR                      309                0
 589 PAND                          67                0
 590 PANDN                        405                0
 591 PAUSE                         18                0
 599 PCMPEQB                     1308                0
 600 PCMPEQD                      254                0
 607 PCMPGTB                      404                0
 608 PCMPGTD                       25                0
 610 PCMPGTW                        8                0
 611 PCMPISTRI                    202                0
 620 PEXTRW                         6                0
 659 PMAXUB                        12                0
 665 PMINUB                       146                0
 666 PMINUD                         9                0
 668 PMOVMSKB                    1116                0
 689 POP                        10887                0
 699 POR                          255                0
 703 PREFETCHT0                   132                0
 704 PREFETCHT1                    64                0
 711 PSHUFB                         6                0
 712 PSHUFD                        75                0
 714 PSHUFLW                        1                0
 720 PSLLDQ                       330                0
 722 PSLLW                          3                0
 727 PSRLDQ                       440                0
 729 PSRLW                          3                0
 730 PSUBB                        409                0
 731 PSUBD                          7                0
 732 PSUBQ                         30                0
 735 PSUBUSB                        4                0
 741 PUNPCKHBW                      4                0
 742 PUNPCKHDQ                     29                0
 743 PUNPCKHQDQ                     9                0
 744 PUNPCKHWD                      8                0
 745 PUNPCKLBW                     29                0
 746 PUNPCKLDQ                     65                0
 747 PUNPCKLQDQ                   209                0
 748 PUNPCKLWD                     25                0
 749 PUSH                       10054                0
 759 PXOR                         816                0
 768 RDPID                          2                0
 769 RDPKRU                         2                0
 776 RDTSC                         29                0
 777 RDTSCP                        12                0
 822 RET_NEAR                    6622                0
 825 ROL                           91                0
 826 ROR                          115                0
 835 RSTORSSP                       7                0
 838 SAR                          597                0
 839 SARX                          23                0
 840 SAVEPREVSSP                    7                0
 841 SBB                          249                0
 852 SETB                          79                0
 853 SETBE                         30                0
 854 SETL                          76                0
 855 SETLE                         22                0
 856 SETNB                         12                0
 857 SETNBE                        11                0
 858 SETNL                         15                0
 859 SETNLE                       104                0
 863 SETNZ                        441                0
 864 SETO                           9                0
 865 SETP                           3                0
 868 SETZ                         525                0
 869 SFENCE                        14                0
 878 SHL                         2004                0
 879 SHLD                          23                0
 880 SHLX                          21                0
 881 SHR                         2131                0
 882 SHRD                          23                0
 883 SHRX                          64                0
 884 SHUFPD                         7                0
 885 SHUFPS                         9                0
 897 STD                            1                0
